first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_newly_tested,weekly_cases,weekly_deceased
15/03/2020,21/03/2020,0-19,נקבה,901,863,38,0
15/03/2020,21/03/2020,0-19,לא ידוע,27,27,0,0
15/03/2020,21/03/2020,0-19,זכר,1100,1043,39,0
15/03/2020,21/03/2020,20-24,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,20-24,זכר,697,650,105,0
15/03/2020,21/03/2020,20-24,נקבה,613,594,34,0
15/03/2020,21/03/2020,25-29,נקבה,753,718,50,0
15/03/2020,21/03/2020,25-29,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,25-29,זכר,598,573,53,0
15/03/2020,21/03/2020,30-34,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,30-34,נקבה,710,650,42,0
15/03/2020,21/03/2020,30-34,זכר,658,604,70,0
15/03/2020,21/03/2020,35-39,זכר,579,529,54,0
15/03/2020,21/03/2020,35-39,נקבה,520,494,25,0
15/03/2020,21/03/2020,35-39,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,40-44,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,40-44,זכר,429,396,37,0
15/03/2020,21/03/2020,40-44,נקבה,474,430,22,0
15/03/2020,21/03/2020,45-49,נקבה,388,372,18,0
15/03/2020,21/03/2020,45-49,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,45-49,זכר,376,333,42,0
15/03/2020,21/03/2020,50-54,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,50-54,נקבה,390,367,26,0
15/03/2020,21/03/2020,50-54,זכר,300,272,36,0
15/03/2020,21/03/2020,55-59,נקבה,358,331,26,0
15/03/2020,21/03/2020,55-59,זכר,220,195,27,0
15/03/2020,21/03/2020,55-59,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,60-64,נקבה,300,281,26,0
15/03/2020,21/03/2020,60-64,זכר,253,226,24,0
15/03/2020,21/03/2020,60-64,לא ידוע,0,0,0,0
15/03/2020,21/03/2020,65-69,נקבה,237,211,17,0
15/03/2020,21/03/2020,65-69,זכר,271,236,36,0
