date,count,week
03/01/2000,964,1
10/01/2000,942,2
17/01/2000,1047,3
24/01/2000,952,4
31/01/2000,968,5
07/02/2000,863,6
14/02/2000,813,7
21/02/2000,778,8
28/02/2000,781,9
06/03/2000,760,10
13/03/2000,766,11
20/03/2000,754,12
27/03/2000,749,13
03/04/2000,683,14
10/04/2000,730,15
17/04/2000,678,16
24/04/2000,658,17
01/05/2000,661,18
08/05/2000,673,19
15/05/2000,633,20
22/05/2000,623,21
29/05/2000,660,22
05/06/2000,615,23
12/06/2000,654,24
19/06/2000,605,25
26/06/2000,652,26
03/07/2000,702,27
10/07/2000,617,28
17/07/2000,641,29
24/07/2000,639,30
31/07/2000,653,31
07/08/2000,661,32
14/08/2000,628,33
21/08/2000,671,34
28/08/2000,611,35
04/09/2000,641,36
11/09/2000,650,37
18/09/2000,703,38
25/09/2000,669,39
02/10/2000,707,40
09/10/2000,644,41
16/10/2000,644,42
23/10/2000,624,43
30/10/2000,688,44
06/11/2000,710,45
13/11/2000,736,46
20/11/2000,706,47
27/11/2000,763,48
04/12/2000,745,49
11/12/2000,771,50
18/12/2000,755,51
25/12/2000,783,52
01/01/2001,804,1
08/01/2001,784,2
15/01/2001,718,3
22/01/2001,769,4
29/01/2001,834,5
05/02/2001,824,6
12/02/2001,830,7
19/02/2001,799,8
26/02/2001,829,9
05/03/2001,807,10
12/03/2001,765,11
19/03/2001,727,12
26/03/2001,744,13
02/04/2001,682,14
09/04/2001,681,15
16/04/2001,784,16
23/04/2001,680,17
30/04/2001,728,18
07/05/2001,672,19
14/05/2001,625,20
21/05/2001,682,21
28/05/2001,660,22
04/06/2001,577,23
11/06/2001,629,24
18/06/2001,657,25
25/06/2001,632,26
02/07/2001,655,27
09/07/2001,654,28
16/07/2001,642,29
23/07/2001,620,30
30/07/2001,659,31
06/08/2001,675,32
13/08/2001,675,33
20/08/2001,674,34
27/08/2001,714,35
03/09/2001,633,36
10/09/2001,639,37
17/09/2001,683,38
24/09/2001,643,39
01/10/2001,727,40
08/10/2001,694,41
15/10/2001,674,42
22/10/2001,716,43
29/10/2001,737,44
05/11/2001,701,45
12/11/2001,685,46
19/11/2001,767,47
26/11/2001,776,48
03/12/2001,741,49
10/12/2001,781,50
17/12/2001,790,51
24/12/2001,805,52
31/12/2002,786,1
07/01/2002,888,2
14/01/2002,892,3
21/01/2002,988,4
28/01/2002,1022,5
04/02/2002,1046,6
11/02/2002,898,7
18/02/2002,859,8
25/02/2002,807,9
04/03/2002,833,10
11/03/2002,783,11
18/03/2002,731,12
25/03/2002,721,13
01/04/2002,751,14
08/04/2002,812,15
15/04/2002,709,16
22/04/2002,635,17
29/04/2002,650,18
06/05/2002,674,19
13/05/2002,713,20
20/05/2002,656,21
27/05/2002,693,22
03/06/2002,707,23
10/06/2002,702,24
17/06/2002,676,25
24/06/2002,649,26
01/07/2002,634,27
08/07/2002,578,28
15/07/2002,706,29
22/07/2002,658,30
29/07/2002,737,31
05/08/2002,729,32
12/08/2002,675,33
19/08/2002,636,34
26/08/2002,679,35
02/09/2002,620,36
09/09/2002,691,37
16/09/2002,707,38
23/09/2002,660,39
30/09/2002,718,40
07/10/2002,649,41
14/10/2002,673,42
21/10/2002,653,43
28/10/2002,636,44
04/11/2002,727,45
11/11/2002,706,46
18/11/2002,740,47
25/11/2002,733,48
02/12/2002,744,49
09/12/2002,671,50
16/12/2002,751,51
23/12/2002,779,52
30/12/2002,821,1
06/01/2003,820,2
13/01/2003,774,3
20/01/2003,789,4
27/01/2003,780,5
03/02/2003,784,6
10/02/2003,881,7
17/02/2003,814,8
24/02/2003,778,9
03/03/2003,821,10
10/03/2003,771,11
17/03/2003,878,12
24/03/2003,810,13
31/03/2003,820,14
07/04/2003,720,15
14/04/2003,744,16
21/04/2003,671,17
28/04/2003,692,18
05/05/2003,763,19
12/05/2003,713,20
19/05/2003,669,21
26/05/2003,650,22
02/06/2003,633,23
09/06/2003,695,24
16/06/2003,670,25
23/06/2003,681,26
30/06/2003,635,27
07/07/2003,699,28
14/07/2003,703,29
21/07/2003,659,30
28/07/2003,636,31
04/08/2003,633,32
11/08/2003,673,33
18/08/2003,694,34
25/08/2003,631,35
01/09/2003,684,36
08/09/2003,666,37
15/09/2003,672,38
22/09/2003,692,39
29/09/2003,726,40
06/10/2003,678,41
13/10/2003,676,42
