,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JAN,3144,2436,2945,2518,2757,3386,2637,3669,2886,2766,2797,3049,3021,3136,3025,3420,3250,3720,3429,3684,3464
FEB,2547,2339,2690,2402,2410,2699,2404,2625,2891,2399,2471,2597,3103,2796,2864,3135,3142,3010,2939,3096,3028
MAR,2336,2394,2382,2558,2406,2505,2583,2753,2630,2629,2545,2739,3106,2863,2968,3077,2695,3072,2975,3246,3191
APR,2140,2149,2124,2239,2188,2324,2223,2443,2292,2396,2347,2596,2730,2389,2601,2565,2712,2752,2557,2824,3002
MAY,1979,2056,2130,2205,2094,2152,2155,2233,2174,2292,2187,2426,2428,2489,2391,2573,2458,2579,2645,2822,2929
JUN,1836,1834,2035,2018,1977,2034,2063,2024,2044,2133,2138,2198,2252,2241,2214,2342,2345,2360,2433,2469,2523
JUL,1993,1911,1974,2023,2014,2087,2128,2119,2151,2105,2151,2227,2318,2215,2351,2378,2361,2456,2544,2522,2769
AUG,2012,2111,2082,2030,2012,2102,2241,2131,2199,2176,2373,2251,2307,2323,2313,2538,2504,2365,2570,2540,3001
SEP,1877,1956,2046,2043,2019,1994,2086,2103,2218,2065,2335,2101,2331,2240,2306,2409,2334,2355,2496,2527,3149
OCT,2014,2173,2044,2169,2113,2151,2146,2233,2258,2233,2368,2331,2356,2445,2612,2547,2552,2649,2669,2695,3521
NOV,2166,2170,2153,2380,2171,2263,2309,2281,2287,2339,2278,2460,2431,2346,2470,2637,2662,2615,2744,2740,
DEC,2355,2427,2372,2706,2781,2228,2852,2518,2607,2643,2823,2878,2638,2819,2837,2937,3290,3026,2920,3152,
