,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JAN,1178,1006,1099,1006,1011,1150,979,1124,1070,983,970,1014,964,1101,983,1141,1128,1177,1061,1122,1120
FEB,962,944,991,854,888,992,922,920,943,850,833,941,913,989,887,982,1074,1020,966,965,928
MAR,1031,1002,1049,1071,1019,958,924,983,942,910,936,944,1060,1043,1025,1076,984,995,1016,1070,985
APR,836,906,942,872,833,880,841,884,872,850,837,859,868,896,879,884,952,963,917,988,912
MAY,877,926,922,921,865,896,845,850,869,851,851,901,910,863,943,957,944,916,937,966,946
JUN,912,854,878,874,838,831,872,818,788,774,836,858,803,801,879,856,914,951,893,869,886
JUL,876,935,920,918,876,808,952,909,819,877,833,828,869,899,985,911,949,950,950,911,924
AUG,878,897,959,889,852,890,968,864,823,864,937,911,865,950,883,971,886,925,942,955,1010
SEP,936,862,842,881,865,859,808,864,865,795,854,881,803,872,873,899,907,865,894,876,984
OCT,892,954,901,858,925,881,869,844,828,924,880,834,927,926,938,982,918,952,1023,909,1039
NOV,921,941,923,889,813,925,915,863,836,852,835,922,898,889,951,958,960,962,952,947
DEC,1060,1042,922,1037,1060,931,978,922,972,937,1036,944,993,958,1000,1102,1050,961,1059,1085
