,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JAN,4322,3442,4044,3524,3768,4536,3616,4793,3956,3749,3767,4063,3985,4237,4008,4561,4378,4897,4490,4806,4584
FEB,3509,3283,3681,3256,3298,3691,3326,3545,3834,3249,3304,3538,4016,3785,3751,4117,4216,4030,3905,4061,3957
MAR,3367,3396,3431,3629,3425,3463,3507,3736,3572,3539,3481,3683,4166,3906,3993,4153,3679,4067,3991,4316,4176
APR,2976,3055,3066,3111,3021,3204,3064,3327,3164,3246,3184,3455,3598,3285,3480,3449,3664,3715,3474,3812,3916
MAY,2856,2982,3052,3126,2959,3048,3000,3083,3043,3143,3038,3327,3338,3352,3334,3530,3402,3495,3582,3788,3875
JUN,2748,2688,2913,2892,2815,2865,2935,2842,2832,2907,2974,3056,3055,3042,3093,3198,3259,3311,3326,3338,3410
JUL,2869,2846,2894,2941,2890,2895,3080,3028,2970,2982,2984,3055,3187,3114,3336,3289,3310,3406,3494,3433,3694
AUG,2890,3008,3041,2919,2864,2992,3209,2995,3022,3040,3310,3162,3172,3273,3196,3509,3390,3290,3512,3495,4014
SEP,2813,2818,2888,2924,2884,2853,2894,2967,3083,2860,3189,2982,3134,3112,3179,3308,3241,3220,3390,3403,4145
OCT,2906,3127,2945,3027,3038,3032,3015,3077,3086,3157,3248,3165,3283,3371,3550,3529,3470,3601,3692,3604,4616
NOV,3087,3111,3076,3269,2984,3188,3224,3144,3123,3191,3113,3382,3329,3235,3421,3595,3622,3577,3696,3687,
DEC,3415,3469,3294,3743,3841,3159,3830,3440,3579,3580,3859,3822,3631,3777,3837,4039,4340,3987,3979,4237,
