date,count,week
03/01/2000,681,1
10/01/2000,693,2
17/01/2000,769,3
24/01/2000,693,4
31/01/2000,705,5
07/02/2000,648,6
14/02/2000,586,7
21/02/2000,548,8
28/02/2000,545,9
06/03/2000,532,10
13/03/2000,547,11
20/03/2000,504,12
27/03/2000,536,13
03/04/2000,488,14
10/04/2000,525,15
17/04/2000,484,16
24/04/2000,473,17
01/05/2000,472,18
08/05/2000,453,19
15/05/2000,437,20
22/05/2000,440,21
29/05/2000,443,22
05/06/2000,428,23
12/06/2000,431,24
19/06/2000,393,25
26/06/2000,448,26
03/07/2000,472,27
10/07/2000,448,28
17/07/2000,434,29
24/07/2000,448,30
31/07/2000,452,31
07/08/2000,488,32
14/08/2000,444,33
21/08/2000,445,34
28/08/2000,410,35
04/09/2000,453,36
11/09/2000,437,37
18/09/2000,465,38
25/09/2000,418,39
02/10/2000,468,40
09/10/2000,437,41
16/10/2000,459,42
23/10/2000,446,43
30/10/2000,489,44
06/11/2000,488,45
13/11/2000,531,46
20/11/2000,489,47
27/11/2000,546,48
04/12/2000,523,49
11/12/2000,510,50
18/12/2000,523,51
25/12/2000,537,52
01/01/2001,570,1
08/01/2001,561,2
15/01/2001,478,3
22/01/2001,554,4
29/01/2001,602,5
05/02/2001,558,6
12/02/2001,595,7
19/02/2001,579,8
26/02/2001,606,9
05/03/2001,570,10
12/03/2001,545,11
19/03/2001,501,12
26/03/2001,539,13
02/04/2001,467,14
09/04/2001,467,15
16/04/2001,553,16
23/04/2001,501,17
30/04/2001,513,18
07/05/2001,472,19
14/05/2001,423,20
21/05/2001,467,21
28/05/2001,416,22
04/06/2001,418,23
11/06/2001,436,24
18/06/2001,437,25
25/06/2001,430,26
02/07/2001,438,27
09/07/2001,418,28
16/07/2001,436,29
23/07/2001,431,30
30/07/2001,471,31
06/08/2001,463,32
13/08/2001,481,33
20/08/2001,464,34
27/08/2001,507,35
03/09/2001,441,36
10/09/2001,437,37
17/09/2001,480,38
24/09/2001,451,39
01/10/2001,519,40
08/10/2001,497,41
15/10/2001,469,42
22/10/2001,482,43
29/10/2001,488,44
05/11/2001,497,45
12/11/2001,483,46
19/11/2001,537,47
26/11/2001,510,48
03/12/2001,531,49
10/12/2001,543,50
17/12/2001,557,51
24/12/2001,577,52
31/12/2002,551,1
07/01/2002,641,2
14/01/2002,637,3
21/01/2002,755,4
28/01/2002,743,5
04/02/2002,748,6
11/02/2002,674,7
18/02/2002,631,8
25/02/2002,588,9
04/03/2002,564,10
11/03/2002,547,11
18/03/2002,521,12
25/03/2002,491,13
01/04/2002,515,14
08/04/2002,568,15
15/04/2002,499,16
22/04/2002,433,17
29/04/2002,458,18
06/05/2002,459,19
13/05/2002,495,20
20/05/2002,452,21
27/05/2002,504,22
03/06/2002,512,23
10/06/2002,482,24
17/06/2002,453,25
24/06/2002,458,26
01/07/2002,425,27
08/07/2002,397,28
15/07/2002,481,29
22/07/2002,452,30
29/07/2002,504,31
05/08/2002,503,32
12/08/2002,467,33
19/08/2002,436,34
26/08/2002,460,35
02/09/2002,424,36
09/09/2002,482,37
16/09/2002,504,38
23/09/2002,482,39
30/09/2002,508,40
07/10/2002,451,41
14/10/2002,448,42
21/10/2002,454,43
28/10/2002,459,44
04/11/2002,516,45
11/11/2002,490,46
18/11/2002,522,47
25/11/2002,504,48
02/12/2002,527,49
09/12/2002,480,50
16/12/2002,551,51
23/12/2002,569,52
30/12/2002,588,1
06/01/2003,600,2
13/01/2003,556,3
20/01/2003,553,4
27/01/2003,564,5
03/02/2003,592,6
10/02/2003,641,7
17/02/2003,588,8
24/02/2003,558,9
03/03/2003,579,10
10/03/2003,543,11
17/03/2003,621,12
24/03/2003,572,13
31/03/2003,612,14
07/04/2003,501,15
14/04/2003,539,16
21/04/2003,487,17
28/04/2003,495,18
05/05/2003,532,19
12/05/2003,517,20
19/05/2003,458,21
26/05/2003,458,22
02/06/2003,431,23
09/06/2003,491,24
16/06/2003,476,25
23/06/2003,475,26
30/06/2003,435,27
07/07/2003,472,28
14/07/2003,492,29
21/07/2003,469,30
28/07/2003,429,31
04/08/2003,454,32
11/08/2003,437,33
18/08/2003,482,34
25/08/2003,455,35
01/09/2003,475,36
08/09/2003,463,37
15/09/2003,478,38
22/09/2003,481,39
29/09/2003,510,40
06/10/2003,500,41
13/10/2003,463,42
20/10/2003,516,43
27/10/2003,465,44
03/11/2003,540,45
10/11/2003,511,46
17/11/2003,567,47
24/11/2003,623,48
01/12/2003,611,49
08/12/2003,592,50
15/12/2003,588,51
22/12/2003,627,52
29/12/2003,670,1
05/01/2004,646,2
12/01/2004,599,3
19/01/2004,610,4
26/01/2004,601,5
02/02/2004,571,6
09/02/2004,579,7
16/02/2004,593,8
23/02/2004,582,9
01/03/2004,603,10
08/03/2004,494,11
15/03/2004,503,12
22/03/2004,564,13
29/03/2004,529,14
05/04/2004,515,15
12/04/2004,495,16
19/04/2004,520,17
26/04/2004,508,18
03/05/2004,490,19
10/05/2004,453,20
17/05/2004,484,21
24/05/2004,467,22
31/05/2004,458,23
07/06/2004,481,24
14/06/2004,458,25
21/06/2004,436,26
28/06/2004,457,27
05/07/2004,486,28
12/07/2004,419,29
19/07/2004,459,30
26/07/2004,466,31
02/08/2004,428,32
09/08/2004,457,33
16/08/2004,473,34
23/08/2004,459,35
30/08/2004,460,36
06/09/2004,455,37
13/09/2004,490,38
20/09/2004,475,39
27/09/2004,446,40
04/10/2004,473,41
11/10/2004,490,42
18/10/2004,488,43
25/10/2004,478,44
01/11/2004,511,45
08/11/2004,489,46
15/11/2004,467,47
22/11/2004,539,48
29/11/2004,577,49
06/12/2004,563,50
13/12/2004,612,51
20/12/2004,671,52
27/12/2004,729,53
03/01/2005,766,1
10/01/2005,788,2
17/01/2005,749,3
24/01/2005,733,4
31/01/2005,750,5
07/02/2005,688,6
14/02/2005,708,7
21/02/2005,588,8
28/02/2005,635,9
07/03/2005,555,10
14/03/2005,506,11
21/03/2005,572,12
28/03/2005,577,13
04/04/2005,564,14
11/04/2005,553,15
18/04/2005,534,16
25/04/2005,519,17
02/05/2005,508,18
09/05/2005,476,19
16/05/2005,498,20
23/05/2005,475,21
30/05/2005,455,22
06/06/2005,463,23
13/06/2005,480,24
20/06/2005,505,25
27/06/2005,436,26
04/07/2005,478,27
11/07/2005,464,28
18/07/2005,484,29
25/07/2005,465,30
01/08/2005,468,31
08/08/2005,492,32
