date,count,week
03/01/2000,283,1
10/01/2000,249,2
17/01/2000,278,3
24/01/2000,259,4
31/01/2000,263,5
07/02/2000,215,6
14/02/2000,227,7
21/02/2000,230,8
28/02/2000,236,9
06/03/2000,228,10
13/03/2000,219,11
20/03/2000,250,12
27/03/2000,213,13
03/04/2000,195,14
10/04/2000,205,15
17/04/2000,194,16
24/04/2000,185,17
01/05/2000,189,18
08/05/2000,220,19
15/05/2000,196,20
22/05/2000,183,21
29/05/2000,217,22
05/06/2000,187,23
12/06/2000,223,24
19/06/2000,212,25
26/06/2000,204,26
03/07/2000,230,27
10/07/2000,169,28
17/07/2000,207,29
24/07/2000,191,30
31/07/2000,201,31
07/08/2000,173,32
14/08/2000,184,33
21/08/2000,226,34
28/08/2000,201,35
04/09/2000,188,36
11/09/2000,213,37
18/09/2000,238,38
25/09/2000,251,39
02/10/2000,239,40
09/10/2000,207,41
16/10/2000,185,42
23/10/2000,178,43
30/10/2000,199,44
06/11/2000,222,45
13/11/2000,205,46
20/11/2000,217,47
27/11/2000,217,48
04/12/2000,222,49
11/12/2000,261,50
18/12/2000,232,51
25/12/2000,246,52
01/01/2001,234,1
08/01/2001,223,2
15/01/2001,240,3
22/01/2001,215,4
29/01/2001,232,5
05/02/2001,266,6
12/02/2001,235,7
19/02/2001,220,8
26/02/2001,223,9
05/03/2001,237,10
12/03/2001,220,11
19/03/2001,226,12
26/03/2001,205,13
02/04/2001,215,14
09/04/2001,214,15
16/04/2001,231,16
23/04/2001,179,17
30/04/2001,215,18
07/05/2001,200,19
14/05/2001,202,20
21/05/2001,215,21
28/05/2001,244,22
04/06/2001,159,23
11/06/2001,193,24
18/06/2001,220,25
25/06/2001,202,26
02/07/2001,217,27
09/07/2001,236,28
16/07/2001,206,29
23/07/2001,189,30
30/07/2001,188,31
06/08/2001,212,32
13/08/2001,194,33
20/08/2001,210,34
27/08/2001,207,35
03/09/2001,192,36
10/09/2001,202,37
17/09/2001,203,38
24/09/2001,192,39
01/10/2001,208,40
08/10/2001,197,41
15/10/2001,205,42
22/10/2001,234,43
29/10/2001,249,44
05/11/2001,204,45
12/11/2001,202,46
19/11/2001,230,47
26/11/2001,266,48
03/12/2001,210,49
10/12/2001,238,50
17/12/2001,233,51
24/12/2001,228,52
31/12/2002,235,1
07/01/2002,247,2
14/01/2002,255,3
21/01/2002,233,4
28/01/2002,279,5
04/02/2002,298,6
11/02/2002,224,7
18/02/2002,228,8
25/02/2002,219,9
04/03/2002,269,10
11/03/2002,236,11
18/03/2002,210,12
25/03/2002,230,13
01/04/2002,236,14
08/04/2002,244,15
15/04/2002,210,16
22/04/2002,202,17
29/04/2002,192,18
06/05/2002,215,19
13/05/2002,218,20
20/05/2002,204,21
27/05/2002,189,22
03/06/2002,195,23
10/06/2002,220,24
17/06/2002,223,25
24/06/2002,191,26
01/07/2002,209,27
08/07/2002,181,28
15/07/2002,225,29
22/07/2002,206,30
29/07/2002,233,31
05/08/2002,226,32
12/08/2002,208,33
19/08/2002,200,34
26/08/2002,219,35
02/09/2002,196,36
09/09/2002,209,37
16/09/2002,203,38
23/09/2002,178,39
30/09/2002,210,40
07/10/2002,198,41
14/10/2002,225,42
21/10/2002,199,43
28/10/2002,177,44
04/11/2002,211,45
11/11/2002,216,46
18/11/2002,218,47
25/11/2002,229,48
02/12/2002,217,49
09/12/2002,191,50
16/12/2002,200,51
23/12/2002,210,52
30/12/2002,233,1
06/01/2003,220,2
13/01/2003,218,3
20/01/2003,236,4
27/01/2003,216,5
03/02/2003,192,6
10/02/2003,240,7
17/02/2003,226,8
24/02/2003,220,9
03/03/2003,242,10
10/03/2003,228,11
17/03/2003,257,12
24/03/2003,238,13
31/03/2003,208,14
07/04/2003,219,15
14/04/2003,205,16
21/04/2003,184,17
28/04/2003,197,18
05/05/2003,231,19
12/05/2003,196,20
19/05/2003,211,21
26/05/2003,192,22
02/06/2003,202,23
09/06/2003,204,24
16/06/2003,194,25
23/06/2003,206,26
30/06/2003,200,27
07/07/2003,227,28
14/07/2003,211,29
21/07/2003,190,30
28/07/2003,207,31
04/08/2003,179,32
11/08/2003,236,33
18/08/2003,212,34
25/08/2003,176,35
01/09/2003,209,36
08/09/2003,203,37
15/09/2003,194,38
22/09/2003,211,39
29/09/2003,216,40
06/10/2003,178,41
13/10/2003,213,42
20/10/2003,176,43
27/10/2003,191,44
03/11/2003,187,45
10/11/2003,200,46
17/11/2003,217,47
24/11/2003,228,48
01/12/2003,223,49
08/12/2003,252,50
15/12/2003,213,51
22/12/2003,223,52
29/12/2003,250,1
05/01/2004,204,2
12/01/2004,237,3
19/01/2004,238,4
26/01/2004,224,5
02/02/2004,193,6
09/02/2004,228,7
16/02/2004,230,8
23/02/2004,213,9
01/03/2004,218,10
08/03/2004,240,11
15/03/2004,242,12
22/03/2004,229,13
29/03/2004,202,14
05/04/2004,187,15
12/04/2004,214,16
19/04/2004,174,17
26/04/2004,214,18
03/05/2004,189,19
10/05/2004,180,20
17/05/2004,211,21
24/05/2004,188,22
31/05/2004,170,23
07/06/2004,206,24
14/06/2004,194,25
21/06/2004,206,26
28/06/2004,210,27
05/07/2004,191,28
12/07/2004,185,29
19/07/2004,211,30
26/07/2004,184,31
02/08/2004,194,32
09/08/2004,198,33
16/08/2004,195,34
23/08/2004,178,35
30/08/2004,205,36
06/09/2004,193,37
13/09/2004,189,38
20/09/2004,218,39
27/09/2004,218,40
04/10/2004,180,41
11/10/2004,206,42
18/10/2004,230,43
25/10/2004,211,44
01/11/2004,212,45
08/11/2004,178,46
15/11/2004,173,47
22/11/2004,185,48
29/11/2004,218,49
06/12/2004,231,50
13/12/2004,229,51
20/12/2004,237,52
27/12/2004,288,53
03/01/2005,243,1
10/01/2005,273,2
17/01/2005,254,3
24/01/2005,260,4
31/01/2005,239,5
07/02/2005,243,6
14/02/2005,257,7
21/02/2005,243,8
28/02/2005,248,9
07/03/2005,216,10
14/03/2005,188,11
21/03/2005,207,12
28/03/2005,220,13
04/04/2005,196,14
11/04/2005,213,15
18/04/2005,222,16
25/04/2005,203,17
02/05/2005,214,18
09/05/2005,210,19
16/05/2005,192,20
23/05/2005,194,21
30/05/2005,195,22
06/06/2005,195,23
13/06/2005,176,24
20/06/2005,205,25
27/06/2005,168,26
04/07/2005,183,27
11/07/2005,164,28
18/07/2005,205,29
25/07/2005,195,30
01/08/2005,213,31
08/08/2005,201,32
15/08/2005,192,33
22/08/2005,195,34
29/08/2005,205,35
05/09/2005,199,36
12/09/2005,194,37
19/09/2005,197,38
26/09/2005,202,39
03/10/2005,193,40
10/10/2005,211,41
17/10/2005,186,42
24/10/2005,209,43
31/10/2005,229,44
07/11/2005,221,45
14/11/2005,216,46
21/11/2005,198,47
28/11/2005,203,48
05/12/2005,200,49
12/12/2005,217,50
19/12/2005,193,51
26/12/2005,222,52
02/01/2006,243,1
09/01/2006,209,2
16/01/2006,246,3
23/01/2006,209,4
30/01/2006,223,5
06/02/2006,241,6
13/02/2006,227,7
20/02/2006,221,8
27/02/2006,195,9
06/03/2006,205,10
13/03/2006,215,11
20/03/2006,224,12
27/03/2006,201,13
03/04/2006,211,14
10/04/2006,195,15
17/04/2006,207,16
24/04/2006,175,17
01/05/2006,180,18
08/05/2006,202,19
15/05/2006,186,20
22/05/2006,194,21
29/05/2006,189,22
05/06/2006,191,23
12/06/2006,206,24
19/06/2006,217,25
26/06/2006,199,26
03/07/2006,203,27
10/07/2006,234,28
17/07/2006,204,29
24/07/2006,194,30
31/07/2006,208,31
07/08/2006,206,32
14/08/2006,183,33
21/08/2006,204,34
28/08/2006,188,35
04/09/2006,193,36
11/09/2006,211,37
18/09/2006,160,38
25/09/2006,198,39
02/10/2006,179,40
09/10/2006,187,41
16/10/2006,204,42
23/10/2006,215,43
30/10/2006,195,44
06/11/2006,210,45
13/11/2006,219,46
20/11/2006,223,47
27/11/2006,211,48
04/12/2006,207,49
11/12/2006,209,50
18/12/2006,218,51
25/12/2006,255,52
01/01/2007,289,1
08/01/2007,250,2
15/01/2007,261,3
22/01/2007,219,4
29/01/2007,237,5
05/02/2007,235,6
12/02/2007,215,7
19/02/2007,251,8
26/02/2007,242,9
05/03/2007,224,10
12/03/2007,205,11
19/03/2007,208,12
26/03/2007,217,13
02/04/2007,211,14
09/04/2007,223,15
16/04/2007,184,16
23/04/2007,205,17
30/04/2007,186,18
07/05/2007,192,19
14/05/2007,181,20
21/05/2007,194,21
28/05/2007,208,22
04/06/2007,176,23
11/06/2007,186,24
18/06/2007,192,25
25/06/2007,214,26
02/07/2007,202,27
09/07/2007,179,28
16/07/2007,222,29
23/07/2007,220,30
30/07/2007,211,31
06/08/2007,188,32
13/08/2007,181,33
20/08/2007,193,34
27/08/2007,194,35
03/09/2007,195,36
10/09/2007,204,37
17/09/2007,211,38
24/09/2007,195,39
01/10/2007,170,40
08/10/2007,179,41
15/10/2007,183,42
22/10/2007,224,43
29/10/2007,190,44
05/11/2007,208,45
12/11/2007,193,46
19/11/2007,202,47
26/11/2007,227,48
03/12/2007,199,49
10/12/2007,205,50
17/12/2007,212,51
24/12/2007,196,52
31/12/2007,244,1
07/01/2008,220,2
14/01/2008,233,3
21/01/2008,240,4
28/01/2008,270,5
04/02/2008,242,6
11/02/2008,203,7
18/02/2008,226,8
25/02/2008,232,9
03/03/2008,233,10
10/03/2008,197,11
17/03/2008,224,12
24/03/2008,202,13
31/03/2008,212,14
07/04/2008,213,15
14/04/2008,200,16
21/04/2008,186,17
28/04/2008,190,18
05/05/2008,186,19
12/05/2008,207,20
19/05/2008,212,21
26/05/2008,178,22
02/06/2008,176,23
09/06/2008,191,24
16/06/2008,171,25
23/06/2008,197,26
30/06/2008,167,27
07/07/2008,202,28
14/07/2008,187,29
21/07/2008,175,30
28/07/2008,203,31
04/08/2008,204,32
11/08/2008,170,33
18/08/2008,185,34
25/08/2008,177,35
01/09/2008,212,36
08/09/2008,200,37
