,0
0,432037.51129172713
1,432876.45055333065
2,433717.0188843235
3,434559.2194480657
4,435403.05541406036
5,436248.52995796484
6,437095.6462616031
7,437944.40751297795
8,438794.8169062823
9,439646.87764191197
10,440500.5929264771
11,441355.96597281453
12,442213.0
13,442920.32743207936
14,443628.78624676436
15,444338.3782537212
16,445049.10526551085
17,445760.9690975933
18,446473.9715683325
19,447188.114499001
20,447903.39971378434
21,448619.829039786
22,449337.4043070319
23,450056.12734847504
24,450776.0
25,451622.5347436401
26,452470.65923711646
27,453320.37646589964
28,454171.6894210667
29,455024.6010993119
30,455879.11450295703
31,456735.2326399622
32,457592.9585239363
33,458452.2951741474
34,459313.24561553396
35,460175.8128787149
36,461040.0
37,461632.46128196106
38,462225.68390864413
39,462819.66885841824
40,463414.4171109097
41,464009.9296470037
42,464606.2074488459
43,465203.25149984413
44,465801.06278466986
45,466399.64228926
46,466998.9910008184
47,467599.1099078175
48,468200.0
49,468892.42332028033
50,469585.8706688701
51,470280.34356020985
52,470975.8435109799
53,471672.3720401036
54,472369.93066875055
55,473068.52092034015
56,473768.1443205447
57,474468.80239729286
58,475170.4966807729
59,475873.2287034362
60,476577.0
61,477420.2452952458
62,478264.98261093727
63,479111.214587024
64,479958.94386812655
65,480808.1731035448
66,481658.90494726633
67,482511.1420579746
68,483364.88709905726
69,484220.1427386145
70,485076.9116494675
71,485935.1965091665
72,486795.0
73,487808.4806872296
74,488824.07138607267
75,489841.7764894585
76,490861.60039946233
77,491883.5475273241
78,492907.6222934678
79,493933.8291275205
80,494962.1724683315
81,495992.65676399163
82,497025.2864718522
83,498060.06605854473
84,499097.0
85,500212.4363982473
86,501330.3656953871
87,502450.79346282163
88,503573.72528440476
89,504699.16675646976
90,505827.12348785717
91,506957.6010999428
92,508090.60522666574
93,509226.1415145563
94,510364.2156227645
95,511504.83322308783
96,512648.0
97,514416.1531475843
98,516190.40475952096
99,517970.7758697727
100,519757.28758484975
101,521549.9610840598
102,523348.81761975924
103,525153.8785176051
104,526965.1651768079
105,528782.6990703853
106,530606.5017454165
107,532436.5948232982
108,534273.0
109,535252.5615210957
110,536233.919016859
111,537217.0757801153
112,538202.0351097273
113,539188.8003106057
114,540177.3746937207
115,541167.7615761132
116,542159.9642809054
117,543153.9861373125
118,544149.8304806536
119,545147.5006523627
120,546147.0
121,547134.4544592568
122,548123.6942735721
123,549114.7226709353
124,550107.5428851725
125,551102.1581559563
126,552098.571728817
127,553096.7868551528
128,554096.8067922407
129,555098.6348032468
130,556102.2741572373
131,557107.7281291888
132,558115.0
133,558726.3862674399
134,559338.4422770799
135,559951.1687625882
136,560564.5664584365
137,561178.6360999013
138,561793.3784230644
139,562408.7941648139
140,563024.8840628454
141,563641.6488556622
142,564259.089282577
143,564877.2060837122
144,565496.0
145,565876.5053349091
146,566257.2667004707
147,566638.2842689602
148,567019.558212769
149,567401.0887044042
150,567782.8759164893
151,568164.9200217638
152,568547.2211930833
153,568929.77960342
154,569312.5954258621
155,569695.6688336148
156,570079.0
157,570668.7165689408
158,571259.0431684768
159,571849.9804296524
160,572441.5289841647
161,573033.6894643644
162,573626.4625032563
163,574219.8487344998
164,574813.8487924101
165,575408.4633119584
166,576003.6929287727
167,576599.5382791385
168,577196.0
169,578252.1394943321
170,579310.2114875581
171,580370.2195157182
172,581432.1671213232
173,582496.0578533655
174,583561.8952673319
175,584629.6829252143
176,585699.4243955228
177,586771.1232532968
178,587844.7830801172
179,588920.4074641184
180,589998.0
181,591467.2907200814
182,592940.240461414
183,594416.8583361743
184,595897.1534792313
185,597381.1350482027
186,598868.8122235119
187,600360.1942084444
188,601855.2902292052
189,603354.1095349753
190,604856.6613979694
191,606362.9551134929
192,607873.0
193,610379.3731915283
194,612896.0806248722
195,615423.1649100287
196,617960.6688326836
197,620508.635354936
198,623067.1076160257
199,625636.1289330637
200,628215.7428017654
201,630805.9928971872
202,633406.9230744658
203,636018.5773695607
204,638641.0
205,641582.8920574173
206,644538.3359050853
207,647507.3939691621
208,650490.1289633714
209,653486.6038903267
210,656496.8820428624
211,659521.0270053704
212,662559.1026551435
213,665611.1731637245
214,668677.3029982615
215,671757.5569228699
216,674852.0
217,677336.9674418113
218,679831.0851316577
219,682334.3867629537
220,684846.9061531819
221,687368.6772443485
222,689899.7341034422
223,692440.1109228949
224,694989.8420210433
225,697548.9618425922
226,700117.5049590803
227,702695.5060693467
228,705283.0
229,707735.6256840292
230,710196.7803879639
231,712666.4937715196
232,715144.7955975541
233,717631.7157324253
234,720127.2841463517
235,722631.5309137736
236,725144.4862137148
237,727666.1803301474
238,730196.6436523559
239,732735.9066753037
240,735284.0
241,737164.0634662507
242,739048.9341071945
243,740938.6242144
244,742833.1461108638
245,744732.5121510918
246,746636.7347211795
247,748545.8262388923
248,750459.7991537472
249,752378.6659470933
