date,size
ינו-00,6221.6
פבר-00,6233.1
מרץ-00,6245.5
אפר-00,6257.2
מאי-00,6269.4
יונ-00,6282.2
יול-00,6296.3
אוג-00,6311.6
ספט-00,6326.5
אוק-00,6341.7
נוב-00,6355.9
דצמ-00,6369.3
ינו-01,6381.1
פבר-01,6391.1
מרץ-01,6402.1
אפר-01,6411.9
מאי-01,6422.3
יונ-01,6433.2
יול-01,6445.6
אוג-01,6459.2
ספט-01,6472.7
אוק-01,6485.3
נוב-01,6497.2
דצמ-01,6508.8
ינו-02,6518.3
פבר-02,6526.2
מרץ-02,6535.6
אפר-02,6544.5
מאי-02,6553.6
יונ-02,6563
יול-02,6574.3
אוג-02,6586.5
ספט-02,6597.8
אוק-02,6609.3
נוב-02,6619.7
דצמ-02,6631.1
ינו-03,6640.3
פבר-03,6648.8
מרץ-03,6657.2
אפר-03,6665.3
מאי-03,6674.3
יונ-03,6683.8
יול-03,6695
אוג-03,6706.3
ספט-03,6717.3
אוק-03,6728.1
נוב-03,6738.3
דצמ-03,6748.4
ינו-04,6757.8
פבר-04,6765.9
מרץ-04,6775.3
אפר-04,6783.9
מאי-04,6793.2
יונ-04,6803.5
יול-04,6814.6
אוג-04,6825.9
ספט-04,6837.2
אוק-04,6848.3
נוב-04,6859.2
דצמ-04,6869.5
ינו-05,6878.3
פבר-05,6886.3
מרץ-05,6895.9
אפר-05,6904.4
מאי-05,6913.8
יונ-05,6923.6
יול-05,6935.1
אוג-05,6947
ספט-05,6959.1
אוק-05,6969.4
נוב-05,6979.8
דצמ-05,6990.7
ינו-06,7000.9
פבר-06,7009.8
מרץ-06,7019.6
אפר-06,7028.7
מאי-06,7038.8
יונ-06,7048.6
יול-06,7060.4
אוג-06,7072.8
ספט-06,7084.3
אוק-06,7095.7
נוב-06,7106.8
דצמ-06,7116.7
ינו-07,7125.8
פבר-07,7133.9
מרץ-07,7143.5
אפר-07,7152.1
מאי-07,7162.3
יונ-07,7172.4
יול-07,7184.9
אוג-07,7197.7
ספט-07,7208.8
אוק-07,7220.6
נוב-07,7232.2
דצמ-07,7243.6
ינו-08,7254.3
פבר-08,7263.2
מרץ-08,7273.3
אפר-08,7282.8
מאי-08,7293
יונ-08,7303.3
יול-08,7315.7
אוג-08,7328.2
ספט-08,7340.5
אוק-08,7352.3
נוב-08,7363
דצמ-08,7374
ינו-09,7429
פבר-09,7438.3
מרץ-09,7448.5
אפר-09,7457.8
מאי-09,7467.8
יונ-09,7478.1
יול-09,7490.6
אוג-09,7503.7
ספט-09,7516.5
אוק-09,7528.7
נוב-09,7540.1
דצמ-09,7552
ינו-10,7563.6
פבר-10,7573.9
מרץ-10,7585.2
אפר-10,7595.8
מאי-10,7606.3
יונ-10,7617.6
יול-10,7630.5
אוג-10,7644
ספט-10,7656.8
אוק-10,7670.1
נוב-10,7682.5
דצמ-10,7695.1
ינו-11,7706.4
פבר-11,7716.6
מרץ-11,7727.9
אפר-11,7738.1
מאי-11,7748.6
יונ-11,7759.4
יול-11,7772.5
אוג-11,7785.9
ספט-11,7799
אוק-11,7812.2
נוב-11,7824.2
דצמ-11,7836.6
ינו-12,7848.5
פבר-12,7858.8
מרץ-12,7869.8
אפר-12,7880.4
מאי-12,7891.7
יונ-12,7902.9
יול-12,7916.6
אוג-12,7931.6
ספט-12,7945.2
אוק-12,7959
נוב-12,7971.8
דצמ-12,7984.5
ינו-13,7996.2
פבר-13,8006.5
מרץ-13,8017.9
אפר-13,8029
מאי-13,8040.2
יונ-13,8052.2
יול-13,8066.4
אוג-13,8081
ספט-13,8094.1
אוק-13,8108.3
נוב-13,8121.3
דצמ-13,8134.5
ינו-14,8146.8
פבר-14,8157.9
מרץ-14,8170.4
אפר-14,8182.5
מאי-14,8195
יונ-14,8208
יול-14,8223.7
אוג-14,8239.3
ספט-14,8254
אוק-14,8269
נוב-14,8282.4
דצמ-14,8296.9
ינו-15,8309.1
פבר-15,8320.8
מרץ-15,8334.1
אפר-15,8346.4
מאי-15,8358.9
יונ-15,8372.5
יול-15,8389.1
אוג-15,8405.5
ספט-15,8419.9
אוק-15,8435
נוב-15,8448.9
דצמ-15,8463.4
ינו-16,8476.2
פבר-16,8487.9
מרץ-16,8501.7
אפר-16,8513.6
מאי-16,8526.8
יונ-16,8540.2
יול-16,8555.1
אוג-16,8571.5
ספט-16,8586.8
אוק-16,8600.2
נוב-16,8614.9
דצמ-16,8628.6
ינו-17,8641.4
פבר-17,8653.3
מרץ-17,8666.8
אפר-17,8678.8
מאי-17,8692.3
יונ-17,8706.3
יול-17,8721.7
אוג-17,8738.1
ספט-17,8753
אוק-17,8768.5
נוב-17,8783.2
דצמ-17,8797.9
ינו-18,8811.1
פבר-18,8822.7
מרץ-18,8835.9
אפר-18,8849.3
מאי-18,8862.5
יונ-18,8875.9
יול-18,8891.4
אוג-18,8908.1
ספט-18,8922
אוק-18,8938.5
נוב-18,8953
דצמ-18,8967.6
ינו-19,8980.8
פבר-19,8992.5
מרץ-19,9006
אפר-19,9019.2
מאי-19,9034.1
יונ-19,9048
יול-19,9063.9
אוג-19,9080.2
ספט-19,9096
אוק-19,9111.4
נוב-19,9126.3
דצמ-19,9140.5
ינו-20,9153.9
פבר-20,9166.5
מרץ-20,9178.7
אפר-20,9189.7
מאי-20,9201.6
יונ-20,9214.1
יול-20,9227.4
אוג-20,9241.3
ספט-20,9254.5
אוק-20,9267.3
נוב-20,9279.4
דצמ-20,9293.888219
